Scene_ID,Character,Dialogue,Scene_Description,Metadata
0.0,Star Trek V,The Final Frontier,,
0.0,SYBOK,"I thought weapons were forbidden on this planet. ... Besides, I can't believe you'd kill me for a field of empty holes.",,"""The Planet of Galactic Peace"""
0.0,J'ONN,It's all I have.,,(out of a dust storm a horseman approaches an alien drilling for water. The horseman dismounts and addresses the alien)
0.0,SYBOK,Your pain runs deep.,,
0.0,J'ONN,What do you know of my pain?,,
0.0,SYBOK,Let us explore it ...together. ...Each man hides a secret pain. It must be exposed and reckoned with. It must be dragged from the darkness and forced into the light. Share your pain. ...Share your pain with me and gain strength from it.,,
0.0,J'ONN,Where did you get this power?,,
0.0,SYBOK,The power was within you.,,
0.0,J'ONN,It is as if a weight has been lifted from my heart. How can I repay you for this miracle?,,
0.0,SYBOK,Join my quest.,,
0.0,J'ONN,What is it you seek?,,
0.0,SYBOK,"What you seek. What all men have sought since time began, ...the ultimate knowledge. To find it, we'll need a starship.",,
0.0,J'ONN,A starship? There are no starships on Nimbus Three.,,
0.0,SYBOK,Perhaps I have a way to bring one here.,,
0.0,J'ONN,But how?,,
0.0,SYBOK,Have faith my friend. There are more of us than you know.,,
0.0,J'ONN,You're a Vulcan!,,
1.0,McCOY,"'You'll have a great time, Bones. You'll enjoy your shore leave. You'll be able to relax.' You call this relaxing? I'm a nervous wreck. ...If I'm not careful I'll end up talking to myself.",[Yosemite campsite],Stardate 8454.1
2.0,SPOCK,"Greetings, Captain.",[El Capitan],
2.0,KIRK,Spock! ...What are you doing in this neck of the woods?,[El Capitan],
2.0,SPOCK,I have been monitoring your progress.,[El Capitan],(Spock appears alongside Kirk on levitation boots)
2.0,KIRK,"I'm flattered. Twelve hundred points of interest in Yosemite, you pick me.",[El Capitan],
2.0,SPOCK,I regret to inform you that the record time for freeclimbing El Capitan is in no danger of being broken.,[El Capitan],
2.0,KIRK,I'm not trying to break any records. I'm doing this because I enjoy it. Not to mention the most important reason for climbing a mountain.,[El Capitan],
2.0,SPOCK,And that is?,[El Capitan],
2.0,KIRK,Because it's there.,[El Capitan],
2.0,SPOCK,"Captain, I do not think you realise the gravity of your situation.",[El Capitan],
2.0,KIRK,"On the contrary. Gravity is foremost on my mind. Look, I'm trying to make an ascent here. Why don't you go pester Doctor McCoy for a while?",[El Capitan],
2.0,SPOCK,I believe that Doctor McCoy is not in the best of moods.,[El Capitan],
3.0,McCOY,Goddamn irresponsible! ...Playing games with life.,[Yosemite campsite],
4.0,SPOCK,Concentration is vital. You must be one with the rock.,[El Capitan],
4.0,KIRK,"Spock, I appreciate your concern but if you don't stop distracting me, I'm liable to be one with the...",[El Capitan],
5.0,SPOCK,Perhaps 'because it is there' is not a sufficient reason for wanting for climbing a mountain.,[Yosemite campsite],
5.0,KIRK,I'm hardly in a position to disagree.,[Yosemite campsite],"(Kirk plunges Earthwards, Spock using his levitation boots heads after him catching him inches from the ground)"
5.0,KIRK,"Hi, Bones. Mind if we drop in for dinner?",[Yosemite campsite],
7.0,CAITHLIN,"Gentlemen, I'm Caithlin Dar.",[Paradise City saloon backroom],Paradise City
7.0,TALBOT,"Ah, yes. Our new Romulan representative. Welcome to Paradise City, my dear, capital of the socalled 'Planet of Galactic Peace.' I'm St. John Talbot, the Federation representative here on Nimbus Three and my charming companion, here, is the Klingon consul Korrd.",[Paradise City saloon backroom],Nimbus III
7.0,KORRD,Ugghhhh!,[Paradise City saloon backroom],
7.0,CAITHLIN,I expect that's Klingon for hello.,[Paradise City saloon backroom],
7.0,TALBOT (OC),"Won't you come in, my dear?",[Paradise City saloon backroom],
7.0,CAITHLIN,"Twenty years ago, our three governments agreed to develop this planet together. A new age was born.",[Paradise City saloon backroom],
7.0,TALBOT,"Our new age died a quick death. And the settlers we conned into coming here, they were the dregs of the galaxy. They immediately took to fighting amongst themselves. We forbad them weapons, but they soon began to fashion their own.",[Paradise City saloon backroom],
7.0,CAITHLIN,Right! Then it appears I've arrived just in time.,[Paradise City saloon backroom],(Sybok and his followers approach Paradise City)
8.0,J'ONN,Get away from that transmitter!,[Paradise City saloon backroom],
8.0,SYBOK,Romulan. ...Terran. ...Klingon. Consider yourselves my prisoners.,[Paradise City saloon backroom],(a klaxon sounds and the three of them rush outside as Sybok and his followers storm the city)
8.0,TALBOT,Prisoners? We're already prisoners here on this worthless lump of rock. What possible value could we be to you?,[Paradise City saloon backroom],
8.0,SYBOK,"Nimbus Three may be a worthless lump of rock, but it does have one unique treasure. It's the only place in the entire galaxy that has the three of you.",[Paradise City saloon backroom],
8.0,CAITHLIN,I don't know who you are or what you want but I can tell you this. Our governments will stop at nothing to ensure our safety.,[Paradise City saloon backroom],
8.0,SYBOK,That's exactly what I'm counting on.,[Paradise City saloon backroom],
9.0,SCOTT (OC),"U.S.S. Enterprise, shakedown cruise report. I think this new ship was put together by monkeys. Och, she's got a fine engine, but half the doors won't open, and guess whose job it is to make it right?",[Spacedock],
10.0,SCOTT,"Borgus frat! 'Let's see what she's got' said the Captain. And then we found out, didn't we?",[Enterprise-A bridge],
10.0,UHURA,"I know you'll whip her into shape, Scotty. You always do.",[Enterprise-A bridge],
10.0,SCOTT,"Uhura, I thought you were on leave?",[Enterprise-A bridge],
10.0,UHURA,And I thought we were supposed to be going together.,[Enterprise-A bridge],
10.0,SCOTT,Oh I can't leave her when she needs me the most.,[Enterprise-A bridge],
10.0,UHURA,I had a feeling you would say something like that. So I brought us ...dinner.,[Enterprise-A bridge],
10.0,SCOTT,"Oh lass, you're the most understanding woman I know.",[Enterprise-A bridge],
10.0,COMMAND VOICE,distorted RED ALERT. RED ALERT.,[Enterprise-A bridge],
10.0,SCOTT,"I just fixed that damn thing. Turn it off, will you?",[Enterprise-A bridge],
10.0,COMMAND VOICE,"RED ALERT. RED ALERT. This is a RED ALERT. Enterprise, acknowledge.",[Enterprise-A bridge],
10.0,UHURA,This is Enterprise. Identify yourself.,[Enterprise-A bridge],
10.0,COMMAND VOICE,"Enterprise, this is Starfleet. We have a Priority Seven situation in the Neutral Zone.",[Enterprise-A bridge],
10.0,UHURA,"Stand by, Starfleet. ...Scotty, this is for real.",[Enterprise-A bridge],
10.0,SCOTT,They can't be serious! The ship's in pieces and we've got less than a skeleton crew aboard.,[Enterprise-A bridge],
10.0,UHURA,"Starfleet, are you aware of our current status?",[Enterprise-A bridge],
10.0,COMMAND VOICE,Current status understood. Stand by to copy operational orders and recall key personnel.,[Enterprise-A bridge],
11.0,CHEKOV,Admit it. We're lost.,[Earth - forest],
11.0,SULU,"All right, we're lost. But we're making good time.",[Earth - forest],
11.0,UHURA (on communicator),"Commander Sulu, come in please.",[Earth - forest],
11.0,SULU,I don't believe this. Commander Sulu here.,[Earth - forest],
12.0,UHURA,"Bad news, gentlemen. Shore leave is cancelled.",[Enterprise-A bridge],
13.0,CHEKOV,Rescued at last.,[Earth - forest],
13.0,UHURA (on communicator),Return to the prearranged coordinates for pickup.,[Earth - forest],
13.0,CHEKOV,You can't tell them we're lost. We'd never live it down.,[Earth - forest],
14.0,UHURA,"Is there a problem, gentlemen?",[Enterprise-A bridge],
15.0,SULU,"Er, ...yes. Er... We've been caught in a blizzard!",[Earth - forest],
15.0,CHEKOV,"Shhhh, Shhhh, and we can't see a thing. Request you direct us to the coordinates.",[Earth - forest],
16.0,UHURA,My visual says ...sunny skies and seventy degrees.,[Enterprise-A bridge],
16.0,CHEKOV,Sulu! Look! The sun's come out! It's a miracle!,[Enterprise-A bridge],
16.0,UHURA (on intercom),"Don't worry, fellas. Your secret's safe with me. I'll send the shuttlecraft to pick you up.",[Enterprise-A bridge],
16.0,SULU,"Uhura, I owe you one.",[Enterprise-A bridge],
17.0,McCOY,Come and get it! Come and get it!,[Yosemite campsite],
17.0,KIRK,"Bones! Bones! Knock it off. We're right here, ...and we're starving.",[Yosemite campsite],
17.0,SPOCK,"Bipodal seeds, Doctor?",[Yosemite campsite],
17.0,McCOY,"Beans, Spock, but no ordinary beans. These are from an old Southern recipe handed down to me by my father. And if you stick your Vulcan nose up at these, you're not only insulting me, but generations of McCoys.",[Yosemite campsite],
17.0,SPOCK,"In that case, I have little choice but to sample your beans. ...Hm! Surprisingly good. It does have a flavouring I am not familiar with.",[Yosemite campsite],
17.0,McCOY,Ah! That's the secret ingredient.,[Yosemite campsite],
17.0,KIRK,"Got any more of that secret ingredient, Bones?",[Yosemite campsite],
17.0,McCOY,"Be my guest, Captain.",[Yosemite campsite],
17.0,KIRK,Thank you.,[Yosemite campsite],
17.0,SPOCK,Am I to understand that your secret ingredient is ...alcohol?,[Yosemite campsite],
17.0,McCOY,"Whiskey. Tennessee whiskey, Spock! . Care for a little snort?",[Yosemite campsite],
17.0,KIRK,Bourbon and beans. An explosive combination. Do you think Spock can handle it?,[Yosemite campsite],
17.0,McCOY,Are you kidding? With that Vulcan metabolism he could eat a bowl of termites and it wouldn't bother him.,[Yosemite campsite],
17.0,SPOCK,"As you are so fond of pointing out, Doctor, I am half human.",[Yosemite campsite],
17.0,McCOY,"Well, it certainly doesn't show.",[Yosemite campsite],
17.0,SPOCK,Thank you.,[Yosemite campsite],
17.0,McCOY,"How do you like it? This guy never changes. I insult him and he takes it as a compliment. ...Uh, you two of you could drive a man to drink.",[Yosemite campsite],
17.0,KIRK,Me? What did I do?,[Yosemite campsite],
17.0,McCOY,What did you do? You piss me off. Human life is far too precious to risk on crazy stunts. Maybe it didn't cross that macho mind of yours that you should have been killed when you fell off that mountain.,[Yosemite campsite],
17.0,KIRK,It crossed my mind.,[Yosemite campsite],
17.0,McCOY,And?,[Yosemite campsite],
17.0,KIRK,"And, as I fell, I knew I wouldn't die.",[Yosemite campsite],
17.0,McCOY,I thought he was the only one who's immortal.,[Yosemite campsite],
17.0,KIRK,"It isn't that, Bones. I knew I wouldn't die because the two of you were with me.",[Yosemite campsite],
17.0,SPOCK,I do not understand.,[Yosemite campsite],
17.0,KIRK,I've always known ...I'll die alone.,[Yosemite campsite],
