Scene_ID,Character,Dialogue,Scene_Description,Metadata
0.0,Star Trek,First Contact,,
1.0,BORG QUEEN (OC),Locutus.,[Picard's quarters],
1.0,PICARD,I am Locutus of Borg. Resistance is futile.,[Picard's quarters],"(Picard is having a dream about his memories from end of ""Best of Both Worlds, Part I."")"
1.0,PICARD,Authorisation Picard four seven alpha tango. ...Admiral?,[Picard's quarters],
1.0,HAYES (on viewer),Did I catch you at a bad time JeanLuc?,[Picard's quarters],(he is awakened by a comm bleep just as he is starting to be assimilated)
1.0,PICARD,"No, of course not.",[Picard's quarters],
1.0,HAYES (on viewer),I've just received a disturbing report from Deep Space 5. Our colony on Ivor Prime was destroyed this morning. Longrange sensors have picked up...,[Picard's quarters],
1.0,PICARD,"Yes, I know. ...The Borg.",[Picard's quarters],
2.0,RIKER,How many ships?,[Enterprise-E observation lounge],"Captains log, stardate 50893.5. The moment I have dreaded for nearly six years has finally arrived. The Borg, our most lethal enemy have begun an invasion of the Federation, and this time there may be no stopping them."
2.0,PICARD,"One, and it's on a direct course for Earth. It'll cross the Federation border in less than an hour. Admiral Hayes is mobilising a fleet in the Typhon sector.",[Enterprise-E observation lounge],
2.0,DATA,At maximum warp it will take us three hours twentyfive minutes.,[Enterprise-E observation lounge],
2.0,PICARD,We're not going.,[Enterprise-E observation lounge],
2.0,RIKER,"What do you mean, 'We're not going'?",[Enterprise-E observation lounge],
2.0,PICARD,"Our orders are to patrol the Neutral Zone, in case the Romulans decide to take advantage of the situation.",[Enterprise-E observation lounge],
2.0,TROI,The Romulans?,[Enterprise-E observation lounge],
2.0,DATA,"Captain, there has been no unusual activity along the Romulan border for nine months. It seems highly unlikely they would choose this moment to start a conflict.",[Enterprise-E observation lounge],
2.0,CRUSHER,Does Starfleet feel we need more shakedown time?,[Enterprise-E observation lounge],
2.0,LAFORGE,"Captain, we've been out in space for nearly a year now. We're ready! The EnterpriseE is the most advanced starship in the fleet. We should be on the front line.",[Enterprise-E observation lounge],
2.0,PICARD,"I have gone over all this with Starfleet Command. Their orders stand. ...Number One, set a course for the Neutral Zone",[Enterprise-E observation lounge],
3.0,RIKER,Bizet?,[Picard's quarters],
3.0,PICARD,Berlioz. What do you have?,[Picard's quarters],(classical music is playing)
3.0,RIKER,We've finished our first sensor sweep of the Neutral Zone.,[Picard's quarters],
3.0,PICARD,"Oh, fascinating. Twenty particles of space dust per cubic metre. Fiftytwo ultraviolet radiation spikes and a class two comet. Well, this is certainly worthy of our attention.",[Picard's quarters],
3.0,RIKER,"Captain, why are we out here chasing comets?",[Picard's quarters],
3.0,PICARD,Let's just say that Starfleet has every confidence in the Enterprise and her crew. They're just not sure about her Captain. They believe that a man who was once captured and assimilated by the Borg should not be put in a situation where he would face them again. To do so would introduce an unstable element to a critical situation,[Picard's quarters],
3.0,RIKER,That's ridiculous! Your experience of the Borg makes you the perfect man to lead this fight.,[Picard's quarters],
3.0,PICARD,Admiral Hayes disagrees.,[Picard's quarters],
3.0,TROI (on intercom),Bridge to Captain Picard.,[Picard's quarters],
3.0,PICARD,Go ahead.,[Picard's quarters],
3.0,TROI (on intercom),We've just received word from the fleet. They've engaged the Borg.,[Picard's quarters],
4.0,PICARD,"Data, put Starfleet frequency one four eight six on audio.",[Enterprise-E bridge],
4.0,DATA,Aye sir.,[Enterprise-E bridge],
4.0,FLEET COMMUNICATIONS,"Flagship to Endeavor. Standby to engage at grid Afifteen. ...Defiant and Bozeman, fall back to mobile position one. ...Acknowledge. ...We have it in visual range. A Borg cube on course zero point two one five, speed warp point nine six.",[Enterprise-E bridge],
4.0,BORG COMMUNICATIONS,We are the Borg. Lower your shields and surrender your ships. We will add your biological and technological distinctiveness to our own. Your culture will adapt to service us. Resistance is futile.,[Enterprise-E bridge],
4.0,FLEET COMMUNICATIONS,All units open fire. ...They've broken through the defence perimeter. ... Continue to attack. ...We need reinforcements. ...Ninetysix dead and twentytwo wounded on the Lexington.,[Enterprise-E bridge],
4.0,PICARD,Lieutenant Hawk. Set a course for Earth.,[Enterprise-E bridge],
4.0,HAWK,Aye sir.,[Enterprise-E bridge],
4.0,PICARD,Maximum warp. ...I am about to commit a direct violation of our orders. Any of you who wish to object should do so now. It will be noted in my log.,[Enterprise-E bridge],
4.0,DATA,"Captain, I believe I speak for everyone here, sir, when I say ...to hell with our orders.",[Enterprise-E bridge],
4.0,RIKER,RED ALERT! All hands to battle stations.,[Enterprise-E bridge],
4.0,PICARD,Engage.,[Enterprise-E bridge],
5.0,WORF,Report!,[Defiant bridge],"(the Borg cube, under attack, approaches Earth. The Defiant is one of the attacking ships)"
5.0,CONN OFFICER,Main power is offline. We've lost shields and our weapons have gone.,[Defiant bridge],
5.0,WORF,Perhaps today is a good day to die. Prepare for ramming speed!,[Defiant bridge],
5.0,CONN OFFICER,"Sir, there's another starship coming in. ...It's the Enterprise!",[Defiant bridge],
