Scene_ID,Character,Dialogue,Scene_Description,Metadata
0.0,Star Trek III,The Search for Spock,,
0.0,"(scenes from the end of ""Star Trek II","The Wrath of Khan.""",,"Original Airdate: Jul 27, 1984"
1.0,SPOCK,"Don't grieve, Admiral, ...it is logical. The needs of the many ...outweigh...",[Enterprise engineering],
1.0,KIRK,...the needs of the few.,[Enterprise engineering],
1.0,SPOCK,Or the one. I have been ...and always shall be ...your friend. ...Live long ...and prosper.,[Enterprise engineering],
2.0,KIRK (OC),"We are assembled here today to pay final respects to our honoured dead. This death takes place in the shadow of new life, the sunrise of a new world, a world that our beloved comrade gave his life to protect and nourish. He did not feel that sacrifice a vain or empty one. Of my friend, I can only say this. Of all the souls I have encountered in my travels, ...his was the most ...human.",[Torpedo bay],
2.0,SULU (OC),"Honours, ...hup!",[Torpedo bay],
2.0,Spock's Voice,"Space, the final frontier. ...These are the continuing voyages of the Starship Enterprise. ...Her ongoing mission, to explore strange new worlds. ...To seek out new lifeforms and new civilisations. ...To boldly go where no man has gone before.",[Torpedo bay],
3.0,KIRK,"Status, Mister Sulu?",[Enterprise bridge],
3.0,SULU,"On course, Admiral. Estimating Spacedock in two point one hours.",[Enterprise bridge],"U.S.S. Enterprise. Captain's personal log. With most of our battle damage repaired, we're almost home. Yet I feel uneasy and I wonder why. Perhaps it's the emptiness of this vessel. Most of our trainee crew has been reassigned. Lieutenant Saavik and my son, David are exploring the Genesis planet which he helped create. And Enterprise feels like a house with all the children gone. No, more empty than even that. The death of Spock is like an open wound. It seems that I have left the noblest part of myself back there ...on that newborn planet."
3.0,KIRK,"Very well, ...Mister Chekov, I'll need preapproach scan. ...Take the science station, please.",[Enterprise bridge],
3.0,CHEKOV,Yes sir.,[Enterprise bridge],
3.0,KIRK,"Uhura, any response from Starfleet on our Project Genesis inquiries?",[Enterprise bridge],
3.0,UHURA,"No sir, there is no response.",[Enterprise bridge],
3.0,KIRK,"That's very odd. ...Scotty, progress report?",[Enterprise bridge],
4.0,SCOTT,"I'm almost done, sir. You'll be fully automated by the time we dock.",[Enterprise engineering],
5.0,KIRK,"Your timing is excellent, Mister Scott. You've fixed the barn door after the horse has come home. How much refit time till we can take her out of here?",[Enterprise bridge],
6.0,SCOTT,"Eight weeks, sir. But you don't have eight weeks so I'll do it for ya in two.",[Enterprise engineering],
7.0,KIRK,Mister Scott. Have you always multiplied your repair estimates by a factor of four?,[Enterprise bridge],
8.0,SCOTT,"Certainly, sir. How else can I keep my reputation as a miracle worker?",[Enterprise engineering],
