Scene_ID,Character,Dialogue,Scene_Description,Metadata
0.0,Star Trek IV,The Voyage Home,,
0.0,"(scenes from ""Star Trek III","The Search for Spock.""",,"Captain's log, stardate 8031 in the twenty-third century. As commanding officer of the U.S.S. Enterprise, I look back on our most recent adventure and realise I could not have asked for a more dependable ship or dedicated crew. Chekov, Doctor McCoy, Uhura, Scotty, Sulu, and our late comrade, Spock, whose heroic sacrifice in our last mission is now deeply felt. Our ship and our lives have been endangered by an experimental project called Genesis designed to bring new life to barren moons. We sent Spock's body there to rest in peace."
1.0,SAREK,Why did you leave him on Genesis! Spock trusted you. You denied him his future!,[Kirk's apartment],
1.0,KIRK,I saw no future.,[Kirk's apartment],
2.0,SAREK,"Only his body was in death, Kirk. ...bring him to us ...and bring that which he gave you ...his living spirit.",[Electronic center],
3.0,KIRK,...if there's a chance that Spock has an eternal soul ...then it's my responsibility. ...Give me back the Enterprise!,[Starfleet officer's lounge],
3.0,MORROW,"Out of the question, my friend!",[Starfleet officer's lounge],
3.0,SULU,"The word, sir?",[Starfleet officer's lounge],
3.0,KIRK,The word ...is no I am therefore going anyway.,[Starfleet officer's lounge],
4.0,FIRST OFFICER (on intercom),"Sir, someone is stealing the Enterprise!",[Spacedock cafeteria],
4.0,STARFLEET VOICE,"All stations, Yellow Alert!",[Spacedock cafeteria],
5.0,CHEKOV,"Sir. Commander, Starfleet on emergency channel. He orders you to surrender this vessel.",[Enterprise bridge],
5.0,KIRK,"No reply, Chekov.",[Enterprise bridge],
5.0,SULU,One minute to space doors.,[Enterprise bridge],
6.0,STYLES,"Kirk! If you do this, you'll never sit in the Captain's chair again.",[Excelsior bridge],
7.0,KIRK,Warp speed.,[Enterprise bridge],
7.0,SULU,...Warp speed.,[Enterprise bridge],
7.0,KIRK,Best speed to Genesis.,[Enterprise bridge],
8.0,SULU,"Klingon Bird of Prey, sir! She's arming torpedoes!",[Enterprise bridge],Captain's log. (continued) Unfortunately we were not the first to arrive.
9.0,KIRK (on viewscreen),...your presence here is an act of war.,[Bird-of-Prey bridge],
9.0,KRUGE,Fire!,[Bird-of-Prey bridge],
10.0,TORG,...The ship appears to be deserted.,[Enterprise bridge],"Captain's log. (continued) Quickly overpowered, we had no choice but to allow the Klingons aboard, which meant the only way to defeat them was to destroy the Enterprise."
11.0,KRUGE,...They're hiding!,[Bird-of-Prey bridge],
12.0,COMPUTER VOICE,"...five,...",[Bird-of-Prey bridge],Captain's log. (continued) Leaving our ship for the last time we fled to Genesis.
12.0,KRUGE,Get out! Get out...,[Bird-of-Prey bridge],
13.0,KIRK,...What have I done?,[Genesis planet - Kirk's landing],
13.0,McCOY,What you had to do...,[Genesis planet - Kirk's landing],
14.0,SPOCK,...You came back for me.,[Vulcan temple area - sunrise],"Captain's log. (continued) Just as the planet began to self-destruct we found Spock, and he was alive. His body had been regenerated but his mind was blank. Escaping Genesis we used the captured Klingon vessel to transport us to Vulcan where a mysterious ceremony was performed by Spock's people in an attempt to restore his memory."
14.0,KIRK,You would have done the same for me.,[Vulcan temple area - sunrise],
14.0,SPOCK,Why would you do this?,[Vulcan temple area - sunrise],
14.0,KIRK,Because the needs of the one ...outweigh the needs of the many.,[Vulcan temple area - sunrise],
15.0,SARATOGA CAPTAIN (OC),What do you make of it?,[Saratoga bridge],OPENING CREDITS
15.0,SARATOGA HELMSMAN,"It appears to be a probe, Captain, from an intelligence unknown to us.",[Saratoga bridge],
15.0,SARATOGA CAPTAIN,"Continue transmitting, universal 'Peace' and 'Hello' in all known languages. ...Get me Starfleet Command.",[Saratoga bridge],
15.0,SARATOGA HELMSMAN,"Ready, Captain.",[Saratoga bridge],
15.0,SARATOGA CAPTAIN,"Starfleet Command, this is U.S.S. Saratoga patrolling Sector Five, Neutral Zone. We are tracking a probe of unknown origin on apparent trajectory to the Terran solar system. Attempts to communicate with the probe have been negative on all known frequencies.",[Saratoga bridge],
15.0,STARFLEET VOICE (on intercom),"Continue tracking, Saratoga. We will analyse transmissions and advise.",[Saratoga bridge],
15.0,SARATOGA CAPTAIN,"Roger, Starfleet, Saratoga out.",[Saratoga bridge],
16.0,COMPUTER VOICE (on viewscreen),"...six, ...five, ...four, ...three, ...two, ...one...",[Federation council chamber],
16.0,KLINGON AMBASSADOR,"Hold the image. Hold! ...Behold! The quintessential devil in these matters! James T. Kirk, renegade and terrorist! Not only is he responsible for the murder of a Klingon crew, the theft of a Klingon vessel. See now the real plot and intentions, Even as this Federation was negotiating a peace treaty with us, Kirk was secretly developing the Genesis torpedo, conceived by Kirk's son and test detonated by the Admiral himself! The result of this awesome energy was euphemistically called 'The Genesis Planet' ...A secret base from which to launch the annihilation of the Klingon people! We demand the extradition of Kirk! We demand justice!",[Federation council chamber],
16.0,SAREK,"Klingon justice is a unique point of view, Mister President. ...Genesis was perfectly named. The creation of life not death. The Klingons shed the first blood while attempting to possess its secrets.",[Federation council chamber],(on the viewscreen the Enterprise self-destructs)
16.0,KLINGON AMBASSADOR,Vulcans are well known as the intellectual puppets of this Federation!,[Federation council chamber],
16.0,SAREK,Your vessel did destroy U.S.S. Grissom. Your men did kill Kirk's son. Do you deny these events?,[Federation council chamber],
16.0,KLINGON AMBASSADOR,We deny nothing! We have the right to preserve our race!,[Federation council chamber],
16.0,SAREK,Do you have the right to commit murder?,[Federation council chamber],
16.0,FEDERATION PRESIDENT,Silence! Silence! There will be no further outbursts from the floor.,[Federation council chamber],
16.0,SAREK,"Mister President, I have come to speak on behalf of the accused.",[Federation council chamber],
16.0,KLINGON AMBASSADOR,Personal bias! His son was saved by Kirk!,[Federation council chamber],
16.0,FEDERATION PRESIDENT,"Mister Ambassador, with all respect, the Council's deliberations are over.",[Federation council chamber],
16.0,KLINGON AMBASSADOR,Then Kirk goes unpunished?,[Federation council chamber],
16.0,FEDERATION PRESIDENT,Admiral Kirk has been charged with nine violations of Starfleet regulations.,[Federation council chamber],
16.0,KLINGON AMBASSADOR,Starfleet regulations? That's outrageous! Remember this well. There shall be no peace as long as Kirk lives!,[Federation council chamber],
17.0,KIRK,Doctor McCoy?,[Vulcan - Bird-of-Prey on landing pad],"Captain's log. (continued) ...And like those mutineers of five hundred years ago, we too have a hard choice to make."
17.0,McCOY,Aye sir.,[Vulcan - Bird-of-Prey on landing pad],
17.0,KIRK,Mister Scott?,[Vulcan - Bird-of-Prey on landing pad],
17.0,SCOTT,Aye sir.,[Vulcan - Bird-of-Prey on landing pad],
17.0,KIRK,Uhura?,[Vulcan - Bird-of-Prey on landing pad],
17.0,UHURA,Aye sir.,[Vulcan - Bird-of-Prey on landing pad],
17.0,KIRK,Chekov?,[Vulcan - Bird-of-Prey on landing pad],
17.0,CHEKOV,Aye sir.,[Vulcan - Bird-of-Prey on landing pad],
17.0,KIRK,Sulu?,[Vulcan - Bird-of-Prey on landing pad],
17.0,SULU,Aye sir.,[Vulcan - Bird-of-Prey on landing pad],
17.0,KIRK,"Let the record show that the commander and the crew of the late Starship Enterprise have voted unanimously to return to Earth to face the consequences of their actions in the rescue of their comrade, Captain Spock. ...Thank you all. ...Repair stations, please.",[Vulcan - Bird-of-Prey on landing pad],
17.0,KIRK,Mister Scott!,[Vulcan - Bird-of-Prey on landing pad],
17.0,SCOTT,Aye sir?,[Vulcan - Bird-of-Prey on landing pad],
17.0,KIRK,How soon can we be underway?,[Vulcan - Bird-of-Prey on landing pad],
17.0,SCOTT,"Give me one more day, sir. Damage control is easy. Reading Klingon, That's hard.",[Vulcan - Bird-of-Prey on landing pad],
