Scene_ID,Character,Dialogue,Scene_Description,Metadata
0.0,,,,Star Trek Generations
0.0,,,,Stardate: 48650.1
0.0,,,,"Original Airdate: Nov 18, 1994"
0.0,,,,
0.0,,,,OPENING CREDITS
0.0,,,,
1.0,,,[Enterprise-B bridge],"(a champagne bottle, Dom Pérignon 2265, tumbles through space to christen U.S.S. Enterprise NCC 1701-B in the view of a crowd watching from Spacedock)"
1.0,JOURNALIST #3,"Captain Kirk, how does it feel to be back on the Enterprise Bridge? ...Can I ask you a few questions? ...We'd like to know how you feel how you're going...",[Enterprise-B bridge],
1.0,HARRIMAN,"Excuse me, excuse me, excuse me. There will be plenty of time for questions later. I'm Captain John Harriman and I'd like to welcome you all aboard.",[Enterprise-B bridge],
1.0,KIRK,It's our pleasure.,[Enterprise-B bridge],
1.0,HARRIMAN,I just want you to know how excited we all are to have a group of living legends with us on our maiden voyage. ...I remember reading about your missions when I was in grade school.,[Enterprise-B bridge],
1.0,KIRK,"Oh, really. Well, ...may we have a look around?",[Enterprise-B bridge],
1.0,HARRIMAN,"Please, ...please.",[Enterprise-B bridge],
1.0,CHEKOV,Demora!,[Enterprise-B bridge],
1.0,JOURNALIST #1,"Captain, ...this is the first Starship Enterprise in thirty years without James T. Kirk in command. How do you feel about that, sir?",[Enterprise-B bridge],
1.0,KIRK,Oh just fine. I'm glad to be here to send her on her way.,[Enterprise-B bridge],
1.0,JOURNALIST #3,And what have you been doing since you retired?,[Enterprise-B bridge],
1.0,KIRK,Keeping busy.,[Enterprise-B bridge],
1.0,JOURNALIST #3,Captain Kirk...,[Enterprise-B bridge],
1.0,HARRIMAN (OC),Why don't we give the Captain a chance to look around?,[Enterprise-B bridge],
1.0,,,[Enterprise-B bridge],
1.0,CHEKOV,Captain. ... Excuse me. ...I'd like you to meet the helmsman of the Enterprise-B. Demora. ...Ensign Demora Sulu.,[Enterprise-B bridge],
1.0,DEMORA,"It's a pleasure to meet you, sir. My father's told me some ...interesting stories about you.",[Enterprise-B bridge],(Kirk takes a longing glance at the Captain's chair)
1.0,KIRK,Your father is Hikaru Sulu?,[Enterprise-B bridge],
1.0,DEMORA,Yes sir.,[Enterprise-B bridge],
1.0,CHEKOV,"Oh, you've met her before, when she was...",[Enterprise-B bridge],
1.0,KIRK,It wasn't so long ago. ...It couldn't have been more than....,[Enterprise-B bridge],
1.0,CHEKOV,"Twelve years, sir.",[Enterprise-B bridge],
1.0,KIRK,Twelve years?,[Enterprise-B bridge],
1.0,CHEKOV,Absolutely.,[Enterprise-B bridge],
1.0,KIRK,"Incredible. Congratulations, Ensign. It wouldn't be the Enterprise without a Sulu at the helm.",[Enterprise-B bridge],
1.0,DEMORA,"Thank you, sir.",[Enterprise-B bridge],
1.0,CHEKOV,I'm sure Hikaru must be very proud of you.,[Enterprise-B bridge],
1.0,DEMORA (OC),I hope so.,[Enterprise-B bridge],
1.0,CHEKOV,I was never that young.,[Enterprise-B bridge],
1.0,KIRK,"No, ...you were younger!",[Enterprise-B bridge],
1.0,SCOTT,Damn fine ship if you ask me.,[Enterprise-B bridge],
1.0,KIRK,"Scotty, ...it absolutely amazes me.",[Enterprise-B bridge],
1.0,SCOTT,"What would that be, sir?",[Enterprise-B bridge],
1.0,KIRK,Sulu. When did he find the time to have family?,[Enterprise-B bridge],
1.0,SCOTT,"Well like you always say, if something's important, you'll make the time.",[Enterprise-B bridge],
1.0,,,[Enterprise-B bridge],
1.0,SCOTT,"Ah, so that's why you seem so restless. Finding retirement a little lonely, are we?",[Enterprise-B bridge],
1.0,KIRK,"You know, I'm glad you're an engineer. With a tact like that you'd make a lousy psychiatrist.",[Enterprise-B bridge],(Kirk takes a second glance at the Captain's chair)
1.0,SCOTT,"Ha, ha, ha...",[Enterprise-B bridge],
1.0,HARRIMAN,"Excuse me, gentlemen, ...if you'll take your seats.",[Enterprise-B bridge],
1.0,KIRK,"Yes, of course.",[Enterprise-B bridge],
1.0,,,[Enterprise-B bridge],
1.0,HARRIMAN,"Prepare to leave Spacedock. Aft thrusters ahead one-quarter, port and starboard at station keeping. ...Captain Kirk, I'd be honoured if you'd give the order to get underway.",[Enterprise-B bridge],
1.0,KIRK,Thank you very much. I...,[Enterprise-B bridge],(Kirk gives the Captain's chair a nostalgic pat as he moves away)
1.0,HARRIMAN,"Please, sir.",[Enterprise-B bridge],
