Scene_ID,Character,Dialogue,Scene_Description,Metadata
0.0,Star Trek,Insurrection,,
0.0,,,,Stardate: Unknown
0.0,,,,"Original Airdate: Jan 1, 1999"
1.0,,,[Ba'ku village hayfield],
1.0,,,[Ba'ku village hayfield],OPENING CREDITS
1.0,BA'KU CHILD,There he is. Let's get him.,[Ba'ku village hayfield],
2.0,,,[Duck blind control room],(Artim emerges from a pile of hay in a field with children playing hide-and-seek)
2.0,SO'NA COMM VOICE,Area seven to command.,[Duck blind control room],
2.0,STARFLEET OFFICER #1 (OC),Go ahead.,[Duck blind control room],
2.0,SO'NA COMM VOICE,"We could use another survey team out here, sir.",[Duck blind control room],
2.0,STARFLEET OFFICER #1,"Base to Ensign McCauley and Ensign Gilles, please report to area seven and assist the edaphology team.",[Duck blind control room],
2.0,McCAULEY/GILLES (on intercom),Acknowledged.,[Duck blind control room],
2.0,,,[Duck blind control room],
2.0,GALLATIN,Admiral Dougherty is waiting for this. Transmit it to the ship.,[Duck blind control room],
2.0,SO'NA COMM VOICE,"Alert, area twelve!",[Duck blind control room],(figures in red isolation suits move amongst the Ba'ku villagers who are unaware of them)
2.0,,,[Duck blind control room],
2.0,SO'NA COMM VOICE,The android! He's out of control.,[Duck blind control room],
2.0,GALLATIN,Report.,[Duck blind control room],(a phaser shot streaks across the field where the children are playing)
2.0,SO'NA COMM VOICE,He's headed towards the village. We're trying to stop him.,[Duck blind control room],
2.0,STARFLEET OFFICER,Over there!,[Duck blind control room],
2.0,GALLATIN,Magnify. ...Hold your fire.,[Duck blind control room],
3.0,,,[Ba'ku village - day],
3.0,,,[Ba'ku village - day],
3.0,ANIJ,What is it? What's happening?,[Ba'ku village - day],
3.0,,,[Ba'ku village - day],(the children run over a bridge. There are more phaser shots)
4.0,,,[Duck blind],
4.0,CURTIS,Base to Commander Data.,[Duck blind],(in the village the pursuing survey team scatter market stalls)
4.0,DATA (OC),Rerouting ...micro hydraulic power distribution. ...Regulating thermal overload.,[Duck blind],
4.0,CURTIS,Data! Report to base immediately!,[Duck blind],
4.0,DATA (OC),Transferring positronic matrix functions. ...Engaging secondary protocols.,[Duck blind],
4.0,STARFLEET,He's starting to remove the headpiece.,[Duck blind],
4.0,GALLATIN,All field units. Intercept the android.,[Duck blind],
4.0,,,[Duck blind],
5.0,,,[Ba'ku village - day],
5.0,SOJEF,"Artim, it's all right.",[Ba'ku village - day],(Data in an isolation suit fells two pursuers)
5.0,,,[Ba'ku village - day],
5.0,SOJEF,Get inside. Now!,[Ba'ku village - day],
5.0,,,[Ba'ku village - day],(Data flings a pursuer into a pond)
5.0,SOJEF,Mind yourself there. Everyone get inside. Now! Back to your homes. ...Move it! Now! Move!,[Ba'ku village - day],
