Scene_ID,Character,Dialogue,Scene_Description,Metadata
0.0,Star Trek II,The Wrath of Khan,,
0.0,,,,Stardate: 8130.3
0.0,,,,"Original Airdate: Jul 16, 1982"
0.0,,,,
0.0,,,,OPENING CREDITS
0.0,,,,
1.0,,,[Bridge simulator room],IN THE 23RD CENTURY...
1.0,,,[Bridge simulator room],
1.0,,,[Bridge simulator room],
1.0,SULU,Leaving Section Fourteen for Section Fifteen.,[Bridge simulator room],"Captain's log, stardate 8130.3. Starship Enterprise on training mission to Gamma Hydra, Section fourteen, coordinates twenty-two eighty-seven four. Approaching Neutral Zone, all systems normal and functioning."
1.0,SAAVIK,Stand by. Project parabolic course to avoid entering Neutral Zone.,[Bridge simulator room],
1.0,SULU,"Aye, Captain. ...Course change projected.",[Bridge simulator room],
1.0,UHURA,"Captain, ...I'm getting something on the distress channel.",[Bridge simulator room],
1.0,SAAVIK,On speakers!,[Bridge simulator room],
1.0,KOBAYASHI MARU VOICE,"Imperative! This is the Kobayashi Maru, ...nineteen periods out of Altair Six. We have struck a gravitic mine and have lost all power. ...Our hull is penetrated and we have sustained many casualties.",[Bridge simulator room],
1.0,UHURA,This is the Starship Enterprise. Your message is breaking up. Can you give your coordinates? Repeat. This is the Starship...,[Bridge simulator room],
1.0,KOBAYASHI MARU VOICE,"Enterprise, our position is Gamma Hydra, Section Ten.",[Bridge simulator room],
1.0,SAAVIK,In the Neutral Zone.,[Bridge simulator room],
1.0,KOBAYASHI MARU VOICE,"Hull penetrated, life support systems failing. Can you assist us, Enterprise? Can you assist us?",[Bridge simulator room],
1.0,SAAVIK,Data on Kobayashi Maru!,[Bridge simulator room],
1.0,COMPUTER VOICE,"Subject vessel is third class neutronic fuel carrier, crew of eighty-one, three hundred passengers.",[Bridge simulator room],
1.0,SAAVIK,"Damn. Mister Sulu, plot an intercept course.",[Bridge simulator room],
1.0,SULU,May I remind the Captain that if a starship enters the Zone.,[Bridge simulator room],
1.0,SAAVIK,"I'm aware of my responsibilities, Mister",[Bridge simulator room],
1.0,SULU,Estimating two minutes to intercept. ...Now entering the Neutral Zone.,[Bridge simulator room],
1.0,COMPUTER VOICE,Warning. We have entered the Neutral Zone. ...Warning.,[Bridge simulator room],
1.0,SPOCK,"We are now in violation of Treaty, Captain",[Bridge simulator room],
1.0,SAAVIK,"Stand by transporter room, ready to beam survivors aboard.",[Bridge simulator room],
1.0,UHURA,"Captain, I've lost their signal!",[Bridge simulator room],
