Scene_ID,Character,Dialogue,Scene_Description,Metadata
0.0,Star Trek,The Motion Picture,,
0.0,,,,The Director's Edition
0.0,,,,Stardate: 7410.2
0.0,,,,"Original Airdate: Dec 20, 1979"
0.0,,,,
0.0,,,,Overture
1.0,,,[Klingon bridge],OPENING CREDITS
1.0,KLINGON CAPTAIN,(In Klingonese) Tactical.,[Klingon bridge],(three Klingon battle cruisers approach a luminescent Cloud)
1.0,,,[Klingon bridge],
1.0,KLINGON CAPTAIN,(In Klingonese) Visual.,[Klingon bridge],
1.0,,,[Klingon bridge],(the battle cruisers overfly the Cloud)
1.0,KLINGON CAPTAIN,(In Klingonese) Tactical. Stand by on torpedoes. ...Ready. ...Fire!,[Klingon bridge],
1.0,,,[Klingon bridge],(the Cloud on the viewscreen)
1.0,KLINGON CAPTAIN,(In Klingonese) Evasive!,[Klingon bridge],
2.0,,,[Epsilon IX - exterior],(the battle cruisers fire photon torpedoes at the Cloud)
2.0,,,[Epsilon IX - exterior],
2.0,LIEUTENANT,"This is comm station Epsilon Nine, calling U.S.S. Columbia. Come in Columbia. Respond!",[Epsilon IX - exterior],
2.0,COLUMBIA VOICE,(too faint to understand),[Epsilon IX - exterior],
2.0,LIEUTENANT,This is Epsilon Nine. Am boosting output. How do you read this?,[Epsilon IX - exterior],
2.0,COLUMBIA VOICE,All right. (too faint to understand),[Epsilon IX - exterior],
2.0,LIEUTENANT,"Scout Columbia NCC six two one to rendezvous with Scout Revere NCC five nine five on stardate seven four one one point four. Further orders to be relayed at that time. Signed, Commodore Probert, Starfleet. End of transmission.",[Epsilon IX - exterior],
2.0,COLUMBIA VOICE,All right. (too faint to understand),[Epsilon IX - exterior],
3.0,,,[Epsilon IX - interior],
3.0,LIEUTENANT,Our sensor drone is intercepting this on Quad L fourteen.,[Epsilon IX - interior],
3.0,BRANCH,That's in Klingon boundaries. Who are they fighting?,[Epsilon IX - interior],
3.0,LIEUTENANT,"Unknown, sir.",[Epsilon IX - interior],
3.0,TECHNICIAN,I have an exterior visual.,[Epsilon IX - interior],
3.0,,,[Epsilon IX - interior],
3.0,LIEUTENANT,"We've plotted a course on that Cloud, Commander. It will pass into Federation space fairly close to us.",[Epsilon IX - interior],
3.0,BRANCH,Heading?,[Epsilon IX - interior],(the battle cruisers are destroyed by energy bolts from the Cloud)
3.0,LIEUTENANT,"Sir, it's on a precise heading for Earth!",[Epsilon IX - interior],
4.0,,,[Surface of Vulcan],
4.0,FEMALE MASTER,"(in Vulcan) Our ancestors cast out their animal passions on these very sands, ...saving our race through the attainment of Kolinahr.",[Surface of Vulcan],
4.0,MALE MASTER,"(in Vulcan) Kolinahr, through which all emotion is renounced and shed.",[Surface of Vulcan],
4.0,FEMALE MASTER,"(in Vulcan) You have laboured for many seasons, Spock ...and you have proved yourself worthy ...to receive this symbol of pure logic.",[Surface of Vulcan],
4.0,,,[Surface of Vulcan],
4.0,FEMALE MASTER,"(in Vulcan) Your thoughts, give them to me. Our minds are joined, Spock, ...together, and as one. I sense the consciousness calling to you from space. ...Your human blood is touched by it, Spock. You have not yet attained Kolinahr. He must search elsewhere for his answer. He shall not find it here. Live long and prosper, Spock.",[Surface of Vulcan],
4.0,,,[Surface of Vulcan],(Spock stops her putting the ancient pendant around his neck)
4.0,STARDATE,7410.2,[Surface of Vulcan],
5.0,,,[San Francisco Air Tram station],STARFLEET HEADQUARTERS
5.0,KIRK,"Commander Sonak, you received your appointment as Enterprise science officer?",[San Francisco Air Tram station],
5.0,SONAK,"Based, I am told, on your recommendation, Admiral. Thank you.",[San Francisco Air Tram station],
5.0,KIRK,Why aren't you on board?,[San Francisco Air Tram station],
